0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.1633,1066.0673,0.6047,0.2448,20.1569,9.7368,10.6332,-9.2826,-2.1303,3.4278,-6.4671,7.397,6.5488,18.1436,7.391,6.8046,6.201,4.5357,5.4958,2.894,1.0
0.1468,938.4791,0.6237,0.1338,24.0754,-4.777,7.9735,-4.2311,-3.2727,7.2254,-2.1133,2.9055,9.9708,14.0503,9.0406,4.9081,5.5853,4.5429,3.5994,3.7453,1.0
0.0658,719.4975,0.7677,0.143,21.5018,11.963,4.5397,-0.3047,-0.9434,2.8079,-2.6055,0.7144,7.6113,4.737,3.6708,3.2058,3.1004,2.7402,3.0764,3.0943,1.0
0.0721,751.3878,0.765,0.1515,25.9788,12.9837,3.2951,-2.5456,1.6029,1.8192,-0.9996,1.4843,7.1436,5.4274,2.4628,2.5606,3.9237,2.6816,2.301,2.6693,1.0
0.0646,790.3589,0.7281,0.17,22.0254,11.4187,7.0526,-0.0042,4.9488,0.9062,-0.2754,2.7273,6.8843,7.7274,3.8705,3.3615,3.7383,2.8262,2.8259,2.232,1.0
0.13,954.8761,0.6546,0.1876,17.4581,6.8179,5.9864,0.0986,-3.6657,5.4426,-0.7501,4.2282,10.7802,6.8046,3.6865,2.3513,3.2344,4.3194,2.593,2.167,1.0
0.1302,880.5672,0.6403,0.1162,29.8482,-3.9166,11.1141,-4.8476,-4.1119,4.964,-0.9159,4.5613,5.0728,12.3547,6.7791,5.9319,5.0457,4.9846,3.2544,3.2165,1.0
0.1607,955.955,0.6011,0.1199,29.006,-12.1151,6.664,0.7839,-1.2483,5.794,0.4132,4.2288,9.1151,12.32,7.9454,3.293,5.2035,4.0784,3.9302,2.8248,1.0
0.2293,1192.9109,0.5481,0.2171,18.3658,-3.589,4.7858,2.3915,-3.5151,6.9625,-1.283,4.4448,14.3588,15.7517,6.3062,4.269,6.0127,4.5234,3.8168,2.8518,1.0
0.1323,964.4622,0.6422,0.1605,27.9885,-1.0858,9.415,-3.8368,-4.8497,2.8343,-2.4145,5.7437,10.9624,10.8416,8.9508,6.1024,6.5141,5.5108,4.1147,4.2563,1.0
0.1184,920.2996,0.6828,0.1843,26.2488,7.9179,6.4516,-7.333,-4.4786,0.5094,-2.2342,3.5722,11.8618,12.2039,4.2567,7.902,5.4683,7.039,5.2611,3.2143,1.0
0.1539,1028.1013,0.5914,0.1384,22.2172,-10.1954,1.6003,-1.2353,-1.129,6.271,-0.6144,4.6307,6.6807,16.5831,9.5035,5.6759,7.1621,3.788,4.4396,2.7047,1.0
0.0888,780.4572,0.7195,0.1603,19.866,9.1524,9.8494,-2.502,-2.2,4.5062,-0.8828,1.784,8.1194,6.9366,4.09,4.8205,6.8561,2.5776,5.3374,2.5263,1.0
0.1203,925.969,0.6709,0.1965,20.056,9.1362,9.9918,-4.3944,-0.8418,3.9889,-0.632,1.5364,12.0561,6.3243,8.256,4.6597,4.6325,3.8615,2.8032,2.1919,1.0
0.1792,1243.2521,0.5956,0.2891,16.9862,10.978,-5.1782,-3.251,3.3888,0.9011,-1.6004,2.4631,13.0683,6.6856,12.1602,3.0078,6.0573,5.9228,3.4966,3.853,1.0
0.0998,876.1156,0.6788,0.1714,19.5702,7.071,6.1433,0.5238,0.039,3.4928,1.15,2.8907,8.166,7.4193,4.712,3.2684,4.1354,3.1022,3.0951,2.8078,1.0
0.2247,1237.6183,0.6054,0.2915,16.2527,16.3512,2.384,-1.5029,-0.3965,0.6069,0.2866,-0.0212,19.2134,13.9979,3.9254,4.7289,4.2899,3.832,3.4716,2.8943,1.0
0.224,1305.4645,0.5496,0.288,15.3996,9.4591,1.8088,-1.9314,-0.2013,0.1251,0.7872,4.5451,15.3612,17.5112,8.9192,3.877,4.1053,5.4459,5.1929,3.6537,1.0
0.2229,1175.9814,0.5547,0.222,17.493,-0.8967,1.3134,-0.5825,0.1969,3.1238,0.8972,4.0659,15.2054,14.0785,7.1184,6.9053,5.0738,6.3341,3.2963,3.6483,1.0
0.2644,1383.2891,0.5112,0.3378,10.7012,13.6963,10.7908,-6.471,-1.4071,1.3685,-1.7594,1.862,15.1969,13.0344,7.0933,5.6306,5.9878,5.9463,2.0681,2.3651,1.0
0.1465,901.9605,0.6484,0.1117,29.8894,-4.9338,6.7296,-3.5536,-6.425,4.0427,2.7832,0.8068,16.093,13.8604,9.2384,3.7611,8.6168,4.5242,5.4072,3.6329,1.0
0.077,846.5962,0.7071,0.1648,19.3144,4.7189,0.4401,0.3844,3.2143,0.5875,1.2863,0.8987,9.727,11.9059,7.5869,5.1459,3.8183,3.6763,2.8494,2.6859,1.0
0.0793,721.4927,0.7582,0.108,28.7354,-0.8097,-0.2268,-1.8212,1.1578,1.6818,0.1635,3.3718,9.1268,8.7279,7.0021,2.4885,2.9178,3.5793,2.5358,3.1888,1.0
0.0892,650.7948,0.7958,0.0955,35.3034,4.7068,-0.6349,-2.456,2.8457,0.1826,-2.1193,7.0359,5.0239,3.5961,3.2036,4.1038,3.133,2.1614,3.7074,2.7042,1.0
0.0824,638.9252,0.7932,0.0879,34.5668,5.267,3.4272,0.8852,1.2075,2.1646,0.164,4.7092,4.3614,5.9171,5.9699,2.1681,2.6253,2.6226,2.0631,4.0939,1.0
0.1536,1025.1792,0.6281,0.2051,20.0579,4.6043,6.9161,-1.4473,-2.1647,5.7979,-0.3397,4.497,13.1535,4.3531,3.5066,3.8828,5.1337,2.3226,2.8792,2.4424,1.0
0.2332,1168.6307,0.5085,0.2158,15.5748,-7.0878,4.7778,2.6626,4.9507,3.7777,-3.4122,5.5328,17.274,12.7838,11.1745,6.6396,3.7608,3.3343,3.2118,4.4523,1.0
0.1508,974.6562,0.6624,0.1632,29.3465,1.7223,2.0154,-1.3523,1.3107,2.2421,-0.6867,2.1479,17.6822,8.4312,8.9696,5.8643,5.3223,5.0737,4.7162,5.4115,1.0
0.1177,845.2738,0.7094,0.1277,32.2933,3.5777,2.9188,-3.7371,-4.2909,-0.4878,-1.2636,4.3206,13.6197,7.762,8.7067,4.6257,6.5156,3.6828,3.9819,5.8329,1.0
0.2504,1384.7552,0.4947,0.2999,12.4419,2.2254,5.4601,-3.8142,-5.4916,6.0524,0.1841,4.1754,20.346,11.475,8.1421,4.892,5.0357,4.6099,3.696,2.7482,1.0
0.1885,1244.6215,0.5389,0.2976,10.7433,6.8808,6.5892,-7.3549,-1.4418,4.917,0.055,4.7993,16.232,16.9527,5.0897,5.7858,3.3253,4.6845,3.6845,3.8391,1.0
0.1641,1093.3818,0.6392,0.2328,22.1533,10.5342,3.1231,-0.3764,-1.9859,2.4793,-1.8172,3.7055,20.1525,8.7975,7.4563,5.8,4.8957,3.7289,4.2306,4.9515,1.0
0.2,1156.7334,0.532,0.2018,14.3044,-1.7284,7.7729,-0.4965,-6.863,7.571,2.9574,3.3994,14.0267,11.4203,4.7834,4.5301,5.9207,2.9525,2.6201,3.7326,1.0
0.1602,1021.5818,0.6301,0.1901,23.133,3.2365,6.8599,-1.7458,-3.9555,4.3171,-0.9649,3.2737,16.0458,11.5207,8.0337,4.3371,5.2754,3.5718,2.6593,3.8057,1.0
0.0888,804.6559,0.7166,0.1317,26.4785,4.1258,5.624,-4.4504,-1.7112,3.9401,0.4319,3.9333,12.0635,6.9491,7.0993,5.2632,4.6323,4.629,3.5502,4.7722,1.0
0.1833,1175.3682,0.6027,0.3028,10.8343,17.9694,4.098,-1.2905,2.9734,2.1755,-0.2761,1.477,9.8574,5.637,3.8665,3.8438,3.485,2.3218,2.381,2.1005,1.0
0.1812,1134.1992,0.5612,0.2409,15.5242,1.7708,8.8647,-4.6608,-1.7677,6.8609,-1.5885,3.151,13.0949,13.1271,8.1296,5.7575,4.2526,4.676,2.7891,3.5831,1.0
0.1815,1222.823,0.5478,0.2721,13.1663,9.0587,4.232,-4.857,1.4452,2.3868,-3.5613,0.4444,14.383,24.8409,5.261,7.982,5.5504,6.1317,3.1053,3.5117,1.0
0.1796,1111.6635,0.5717,0.2124,14.545,3.7668,10.0132,-3.6011,-5.1279,6.9316,-0.9787,2.0446,11.6331,10.6319,4.6344,4.5808,5.808,3.5428,4.1359,2.8242,1.0
0.1726,1217.9949,0.5527,0.2765,12.7817,11.0529,9.9608,-1.411,-6.2836,2.7242,0.4653,1.0401,16.6508,12.419,5.3885,7.1043,10.802,4.4151,5.0191,2.4488,1.0
0.1258,973.1294,0.6601,0.1967,17.9619,9.2027,8.9725,0.0825,-4.0395,5.0674,-1.6782,3.4076,12.1801,10.5348,4.8971,5.7132,6.8689,3.835,4.1243,3.1928,1.0
0.1493,1010.4051,0.6418,0.2174,17.029,8.9581,7.4071,-0.8307,0.2395,4.4288,0.5688,1.791,11.1153,7.4412,5.339,4.2662,3.5449,4.0944,3.3881,2.9154,1.0
0.0973,796.1024,0.7272,0.172,22.1052,11.8292,8.7117,-3.6112,2.7608,2.4405,-1.1951,3.5894,3.7757,4.5245,3.9616,3.9795,2.1687,3.3956,3.0711,2.9895,1.0
0.0489,655.6736,0.791,0.1271,25.2456,14.1633,6.2332,2.242,2.524,2.3605,-0.9793,1.0517,5.5047,3.4853,2.8375,2.9947,2.6043,2.7485,2.2884,2.1447,1.0
0.0605,665.8009,0.7961,0.1201,28.5466,12.8182,2.3521,0.1568,1.4169,2.834,1.5589,3.7534,3.8824,3.5019,2.9778,2.676,2.2147,2.4972,2.718,2.4712,1.0
0.136,985.942,0.666,0.1883,22.9655,8.7902,3.6029,-2.6893,-3.8653,3.2894,-0.6058,2.8744,8.4871,3.9642,3.6465,4.5481,3.5099,4.3455,3.1569,2.1683,1.0
0.083,701.6389,0.7801,0.1078,33.4745,7.9937,7.25,-1.9817,-0.2563,1.8077,-2.8072,1.8132,12.257,9.2463,8.2252,4.0519,4.9298,4.8702,3.6705,2.516,1.0
0.1115,853.2444,0.6932,0.1233,29.7141,0.5854,7.3162,-2.5534,-0.9763,2.553,1.8922,1.17,8.892,12.1421,7.929,5.9029,6.9879,3.8232,3.3332,3.1718,1.0
0.125,975.283,0.6601,0.2229,26.4067,10.8963,8.4807,-9.0288,0.4394,0.0997,-2.9789,3.572,15.3987,8.7896,8.267,10.1403,4.7503,4.9969,3.6853,3.3176,1.0
0.1597,1045.7255,0.6448,0.2283,21.1672,14.3652,11.4813,-4.3656,-4.1831,2.0728,-3.4324,2.8836,15.0793,12.247,9.661,7.1077,6.7511,5.6807,3.8592,3.4787,1.0
0.1405,987.6962,0.6455,0.2035,17.5694,9.3349,10.7656,-2.6863,-2.6792,7.0362,-2.6523,3.9216,7.9254,3.9467,3.385,3.0095,4.6154,2.9445,2.7841,2.1114,1.0
0.0399,574.3379,0.8141,0.1075,26.7478,12.2345,7.4676,1.903,2.705,3.247,0.4561,3.3929,3.5384,2.2958,2.6006,2.2579,2.2877,2.1665,2.4823,1.9191,1.0
0.0392,531.6096,0.8354,0.0971,28.8546,12.438,5.8393,1.495,1.6407,3.0371,0.6401,3.1898,6.811,2.9526,2.0867,1.9936,2.0809,2.3221,1.5288,2.2912,1.0
0.0785,636.2308,0.7927,0.0889,34.0823,6.4168,8.1122,-0.8119,-5.0678,-0.7941,2.6703,3.1481,6.538,5.6445,2.7053,2.8295,6.1013,2.0842,3.1396,2.5729,1.0
0.0781,590.8378,0.8155,0.0735,37.8952,6.2846,7.3193,-0.5704,-3.1856,-0.0241,0.5139,2.529,4.9401,4.2806,3.8614,2.1672,4.5722,2.1422,3.4641,3.1944,1.0
0.0972,815.7442,0.7068,0.1639,21.3608,10.0219,11.4225,-3.3007,-0.6192,3.044,-1.4536,3.5194,4.8065,3.2342,3.9308,2.6184,2.8693,2.7347,2.5137,2.479,1.0
0.0839,700.7,0.7458,0.1208,26.4136,8.1918,11.558,0.6234,-0.781,2.6868,0.0008,2.4108,8.8768,5.2962,6.4894,3.6325,3.9868,3.3392,2.2334,2.3653,1.0
0.1469,886.3972,0.6445,0.0884,34.5207,-9.7352,6.9574,-4.3366,-6.2964,4.6407,3.1451,3.9049,10.5224,11.2594,9.6952,5.1878,6.4441,5.2598,4.4405,3.9968,1.0
0.1523,1105.8462,0.5881,0.2335,14.62,3.1152,6.7859,-4.9234,0.4712,5.1399,0.1157,3.9494,12.4027,13.3155,3.6283,7.4056,3.9288,4.7866,2.9288,3.7417,1.0
0.1333,952.8448,0.6265,0.1569,21.4373,-2.9799,6.7812,0.5268,-0.0562,2.7246,-0.6286,2.2132,17.7254,14.9337,4.9049,3.1142,4.9083,4.6334,3.9334,3.0378,1.0
0.0732,786.2651,0.7462,0.164,24.2808,17.1734,9.0986,-1.6084,-1.6866,-2.7268,-3.409,1.4159,9.2265,7.9125,5.7855,3.6332,3.7059,4.7344,3.4871,2.8681,1.0
0.106,923.7504,0.6632,0.1985,21.1707,11.8553,14.1806,-4.9142,-2.0975,2.3748,-2.4715,4.9316,9.987,9.6589,6.2887,6.7351,4.013,4.1851,3.6201,2.4956,1.0
0.1817,1064.0048,0.6017,0.2526,18.0107,8.1154,9.6909,-9.8205,-0.122,2.1747,-0.8979,5.7197,11.9279,7.8237,4.3973,10.0744,3.0532,2.5599,1.9416,3.1434,1.0
0.0732,690.6354,0.7684,0.1102,31.1025,7.8455,4.2697,5.3097,0.0999,1.4341,1.3495,4.0268,9.5722,5.7219,4.7408,3.0298,2.0649,2.2999,2.4308,2.7256,1.0
0.1046,962.1309,0.6707,0.2283,13.8004,13.0357,3.2116,2.4715,2.0967,1.8128,1.9974,4.5964,12.928,6.7397,3.1141,4.0708,2.8096,2.5431,2.7964,2.2726,1.0
0.19,1133.849,0.5553,0.3189,11.2345,9.8073,13.6197,-5.2954,3.1262,4.9658,-5.227,4.9561,11.1943,3.9643,6.0379,5.7733,2.9243,2.5443,2.7766,2.8171,1.0
0.1455,1016.3496,0.6316,0.2087,19.6847,-0.2068,3.3802,-6.1049,4.2074,6.0648,-4.1664,2.9981,7.624,11.3196,8.5701,4.9662,4.1612,3.7608,2.4322,2.9222,1.0
0.2135,1184.3807,0.563,0.2551,16.8859,5.2088,6.1398,-10.5009,0.1793,5.5112,-4.2937,4.5782,11.0985,14.2386,6.6566,6.2377,5.7163,4.7033,4.1572,4.6599,1.0
0.1929,1032.209,0.6197,0.1644,23.3866,-8.3588,1.0169,-5.3838,2.5154,3.7241,-3.5802,2.6657,11.2726,10.6465,4.23,4.6199,6.3043,4.2664,3.5022,2.5175,1.0
0.1371,876.5654,0.6797,0.1507,24.9503,2.4682,5.7593,-5.5479,-0.2182,2.6422,0.5957,1.937,10.7281,9.6381,5.8322,5.3011,5.3081,5.0908,3.763,3.203,1.0
0.2345,1166.7631,0.529,0.1766,20.413,-8.1199,8.7541,-10.142,-3.5424,9.8523,-0.8516,3.7179,6.5998,10.057,5.1269,6.2429,6.3024,3.9721,4.3765,3.6437,1.0
0.1153,956.414,0.6761,0.2169,20.4947,10.539,3.0238,-4.6105,3.9888,0.1586,-0.4624,2.3999,10.2905,6.1526,4.8588,4.3173,5.3305,3.1502,3.0284,2.4687,1.0
0.1477,979.7994,0.6931,0.2079,23.4745,8.579,-3.4152,-7.0079,0.999,-1.2329,0.7025,3.377,13.9608,5.7557,9.361,4.5311,6.6333,3.3649,3.8235,2.4845,1.0
0.0844,679.1361,0.7997,0.109,32.7448,8.4597,2.4779,-4.0874,1.6657,3.7786,-0.5601,3.6348,5.0358,3.6918,7.8193,4.5973,2.2033,2.6056,2.0749,2.045,1.0
0.1162,822.0914,0.7189,0.138,28.6798,4.3676,4.6022,-3.8165,-1.1877,2.4121,-3.2161,6.8453,4.137,6.5925,6.453,2.8633,4.7113,3.4687,3.3972,3.8102,1.0
0.06,647.2015,0.7925,0.1068,29.9149,8.1427,6.0196,0.5882,3.4615,4.3744,0.4099,2.5974,4.5959,2.5733,2.2172,2.0166,2.084,2.5325,1.9431,2.6839,1.0
0.1154,809.3903,0.7449,0.1233,32.8403,4.6789,2.2015,-1.5584,-0.7412,3.9166,0.4073,2.0752,9.498,8.5327,4.5773,5.8446,4.8726,3.0115,2.9764,2.5939,1.0
0.12,755.3867,0.7533,0.085,37.6914,-3.1969,0.1805,-1.3516,-1.8363,3.8228,1.4778,2.4699,9.1041,8.7669,8.1621,6.5889,4.4223,3.3109,3.4286,2.7446,1.0
0.1132,889.0797,0.6861,0.1482,25.33,1.5714,6.459,-7.9422,0.5586,6.1845,2.4627,1.344,5.6999,6.4871,3.0086,6.1102,3.9601,3.5938,4.0539,2.8631,1.0
0.1258,859.5349,0.6804,0.1281,28.4464,-0.8863,9.8931,-9.7408,-3.705,7.3631,1.3144,3.1461,4.9048,9.9608,6.7551,5.1737,5.8514,4.1053,3.3621,3.3411,1.0
0.0732,644.2829,0.7964,0.0938,33.0056,4.5576,3.7385,-0.0564,2.9161,5.099,0.7995,3.3247,3.3242,4.3862,3.8871,2.0462,2.4065,2.2181,1.995,2.4703,1.0
0.0638,622.8903,0.8014,0.0998,31.5077,7.5878,6.1519,-1.2991,1.8718,3.8688,0.6305,3.4539,4.7346,2.3604,3.3451,3.6007,2.9175,3.0944,2.2488,1.1498,1.0
0.0528,577.6118,0.8242,0.0868,33.4435,7.5369,4.5525,-0.1903,2.23,4.2138,2.2371,3.281,2.891,1.662,2.0937,2.41,2.256,1.6857,2.0655,2.0129,1.0
0.076,751.8315,0.7305,0.1248,25.5845,2.1047,8.6673,-0.5212,3.0107,5.9925,0.4366,1.1597,5.4207,3.6733,2.7827,3.789,2.3497,2.6626,2.1035,2.3921,1.0
0.0687,685.8131,0.7782,0.111,30.509,6.8762,7.3391,-4.8825,0.7237,4.4252,1.3822,3.3231,5.0017,6.0085,2.9762,5.1225,3.5816,2.487,2.1231,2.1745,1.0
0.0687,603.9393,0.8159,0.0916,34.8542,8.1891,5.9622,-1.302,2.1844,3.9689,-0.0675,2.9982,5.2918,2.5751,2.7877,2.4617,1.9805,2.0782,2.0817,2.3855,1.0
0.104,829.5189,0.7214,0.1574,26.5718,7.2736,6.7165,-5.0696,2.472,5.2283,-0.2456,3.5135,10.9257,7.7182,3.2109,4.7194,3.7347,1.9566,2.6201,2.4723,1.0
0.1939,1075.2739,0.5693,0.1498,19.9223,-14.5349,7.9416,-4.9186,6.5221,8.2933,2.5722,-3.3853,6.2402,12.8436,2.4081,4.1122,2.7051,2.243,3.7555,3.5198,1.0
0.1821,1060.3047,0.5521,0.1525,18.5998,-10.8183,10.8243,-0.7353,4.2876,3.1954,4.0137,-0.3301,8.2607,10.1132,7.777,4.7396,3.8697,3.8517,4.1656,4.8377,1.0
0.1428,873.6463,0.6789,0.1273,25.758,-4.1029,6.4658,-3.9682,2.3267,5.2768,3.2401,0.3864,9.775,10.9575,3.012,4.7552,2.8898,4.6977,3.1504,4.0062,1.0
0.0888,793.5007,0.7242,0.1369,26.7168,4.4245,7.0845,-3.4754,2.9672,4.367,0.7422,3.4964,6.3986,4.3629,4.782,3.3495,2.5428,2.3505,2.8767,2.3662,1.0
0.0561,650.5167,0.7913,0.1113,30.4919,9.0299,6.6188,-0.7908,2.8421,3.1582,0.667,3.5311,5.0339,2.0266,1.8123,2.4962,2.2499,1.3049,1.8483,1.8853,1.0
0.0883,732.8364,0.7562,0.1308,27.8649,6.9031,6.9537,-5.1838,2.6856,4.4618,2.5338,2.5221,6.3084,4.3247,3.245,3.0642,3.0863,2.7973,3.0617,2.1604,1.0
0.0873,763.6617,0.7643,0.1532,27.357,14.8397,3.5334,-2.1701,2.8495,1.2386,2.9082,2.5281,6.5253,6.4556,2.9264,3.0912,2.9634,2.545,2.5179,2.661,1.0
0.0874,794.1301,0.7548,0.1633,25.7877,14.4816,3.5142,-2.5365,2.9691,2.9453,0.8346,2.518,6.0103,4.6776,3.1643,7.1597,2.8978,3.6991,2.5221,2.242,1.0
0.0776,754.6547,0.757,0.147,28.3864,10.3613,5.7629,-0.2836,2.1403,3.8406,-0.1247,2.6906,9.6859,6.2887,4.0082,3.6835,1.7857,2.1056,2.8958,1.9046,1.0
0.0983,783.2922,0.7151,0.1186,27.3847,0.5359,6.4759,0.1391,3.0094,3.6999,-1.0558,2.4108,5.9047,13.2061,3.9305,5.7084,2.458,3.2852,2.3137,3.4424,1.0
0.1375,883.2064,0.7228,0.1146,30.8835,-7.1492,-2.3714,-2.9297,5.6161,6.6582,-0.2515,1.5629,6.0797,9.6891,9.9451,4.9286,6.9925,4.4663,3.7386,2.9164,1.0
0.1744,1031.3519,0.6416,0.1753,23.0946,-2.53,4.4047,-5.3167,0.9302,9.9836,1.9244,3.2741,11.7366,12.391,4.0807,6.4361,2.7579,5.007,4.149,4.5397,1.0
0.1227,959.0101,0.6741,0.1743,23.918,5.0779,7.1231,-7.7785,-2.9244,7.1373,-1.5744,1.0042,8.2751,8.8619,3.8934,5.095,5.4474,5.4388,2.287,3.1193,1.0
0.0907,701.1082,0.7838,0.0926,34.9679,4.9635,3.3294,-3.5959,-3.3773,2.7231,2.0805,2.0976,6.0752,5.616,5.4191,4.9005,4.7784,3.9289,4.3245,4.2101,1.0
0.063,628.4482,0.8055,0.096,33.1791,7.8824,5.8008,-1.038,1.4323,4.5464,0.7653,2.8283,3.2575,3.27,2.0245,2.6491,2.9709,3.1467,2.5689,2.4746,1.0
0.0586,581.4943,0.8189,0.0884,33.493,7.7129,6.0749,0.0752,2.5727,4.3483,0.7739,3.1601,3.4983,2.1005,1.9793,2.6049,2.4423,1.9301,1.4362,1.7693,1.0
0.0553,536.306,0.8377,0.0808,34.6715,9.3284,8.1936,0.2838,2.2856,3.196,0.0371,2.4669,3.3037,2.5499,2.3963,2.3064,1.5199,1.6941,2.1254,2.5862,1.0
0.1184,820.9613,0.7251,0.1522,27.3931,7.3255,6.9479,-2.1147,-1.4251,4.5557,-3.0752,5.5374,5.5221,5.0925,2.5078,2.1038,1.8903,3.6251,3.0678,2.5007,1.0
0.072,603.6169,0.8113,0.0924,33.6974,7.5261,8.1215,-2.4593,0.6569,3.3152,0.0394,2.7735,4.1147,2.4335,3.1894,3.1739,2.6255,2.3259,2.5937,2.5179,1.0
0.1299,919.1239,0.682,0.165,28.6066,6.3125,9.0819,-5.0828,-2.0465,3.8468,-2.8405,3.1651,8.5105,13.4539,8.6547,5.5762,7.1789,4.7523,3.4661,2.7664,1.0
0.1357,912.5155,0.6801,0.1478,29.2084,-1.9485,7.1163,-9.0585,-1.362,5.1687,0.2035,3.3309,8.2415,5.4716,3.7818,6.1095,8.0301,3.1862,3.0169,3.1382,1.0
0.1312,889.6382,0.6893,0.1603,27.053,1.6251,7.6757,-10.0819,1.9199,4.8642,-0.6084,3.621,7.9025,6.2044,3.9308,6.268,5.1704,3.1664,2.938,3.0894,1.0
0.0945,717.7853,0.7577,0.1071,33.8135,3.1786,5.3424,-5.5889,2.1602,1.3426,-1.4214,5.0563,5.5022,6.9703,7.3716,6.4166,3.2419,5.064,2.6662,2.9681,1.0
0.1024,776.033,0.751,0.1265,30.5725,7.3886,6.5054,-2.9643,-2.8319,3.4601,-1.5471,4.2035,4.4078,8.5448,3.5787,3.9935,3.7452,2.6791,3.4692,2.2627,1.0
0.08,610.8229,0.8199,0.0814,37.9529,6.6393,4.6381,-2.363,-0.5252,2.5606,0.0575,4.2359,3.9902,4.8078,3.7381,2.6773,3.0892,1.838,2.0534,2.4259,1.0
0.1332,899.8242,0.6842,0.1687,27.3446,1.3242,7.4936,-9.3027,3.0697,4.4705,-3.3856,5.4385,7.1882,6.0396,3.6769,6.2035,4.9998,3.319,4.0492,2.8206,1.0
0.104,760.1985,0.7534,0.1057,33.7175,0.9506,3.8818,-7.4079,-0.2259,4.2856,-1.7165,3.9204,6.6295,5.9932,5.6637,5.1462,5.4718,4.4608,2.72,2.1381,1.0
0.0974,777.314,0.744,0.1562,28.6716,10.6734,8.9968,-6.9671,1.4291,1.6474,-3.4647,4.4414,4.747,5.4532,3.3482,6.1437,4.1109,3.013,3.4869,2.9958,1.0
0.0595,598.5304,0.821,0.0872,37.4164,7.9034,7.8485,-1.9312,1.1899,2.7021,-1.8643,2.2486,5.8055,5.9754,2.9737,3.7328,3.2861,2.3975,2.4288,2.5982,1.0
0.1174,767.2744,0.7561,0.1244,36.5038,6.786,4.167,-5.6012,1.8435,3.133,-2.48,3.818,11.4057,11.462,4.6432,6.4319,2.9693,4.5496,3.1745,2.3588,1.0
0.0775,684.373,0.7975,0.1172,33.8674,11.2575,4.8602,-6.0378,2.2945,2.5324,-0.7845,3.4544,5.9803,4.403,3.3457,5.8882,4.8392,4.071,2.749,2.4336,1.0
